SAMN20456381	SRR15403520
SAMN20456395	SRR15369306
SAMN20456385	SRR15369305
SAMN20456390	SRR15369303
SAMN20456392	SRR15369302
SAMN20456393	SRR15369301
SAMN20456391	SRR15369300
SAMN20456396	SRR15369299
SAMN20456379	SRR15369298
SAMN20456387	SRR15369296
SAMN20456386	SRR15369295
SAMN20456388	SRR15369294
SAMN20456382	SRR15369291
SAMN20456377	SRR15369290
SAMN20456383	SRR15369287
SAMN20456380	SRR15369286
SAMN20456384	SRR15369285
SAMN20456367	SRR15323813
SAMN20456358	SRR15323812
SAMN20456359	SRR15323811
SAMN20456366	SRR15323810
SAMN20456364	SRR15323809
SAMN20456368	SRR15323734
SAMN20456371	SRR15323733
SAMN20456361	SRR15323732
SAMN20456363	SRR15323731
SAMN20456373	SRR15323729
SAMN20456370	SRR15323728
SAMN20456376	SRR15323727
SAMN20456357	SRR15323725
SAMN20456374	SRR15323724
SAMN20456360	SRR15323723
SAMN20456375	SRR15323722
SAMN20456372	SRR15323721
SAMN20456362	SRR15323719
SAMN20456369	SRR15323717
SAMN20456378	SRR15282887
SAMN20456356	SRR15279128
SAMN20456365	SRR15279127
SAMN19994208	SRR15018253
SAMN19994208	SRR15017103
SAMN07164056	SRR12539197
SAMN07160184	SRR12539198
SAMN07164055	SRR12539199
SAMN07160183	SRR12539200
SAMN07160182	SRR12539202
SAMN07160181	SRR12539203
SAMN07160180	SRR12539204
SAMN07160185	SRR12539205
SAMN07160179	SRR12539206
SAMN07160178	SRR12539207
SAMN13340566	SRR10502184
SAMN13340562	SRR10502163
SAMN07279146	SRR6958628
SAMN07279146	SRR5972858
SAMN05944941	SRR4733857
SAMN05944940	SRR4733853
SAMN03576951	SRR4243040
SAMN03576953	SRR4123986
SAMN03576952	SRR4123985
SAMN05340951	SRR3924536
SAMN05340950	SRR3924533
SAMN02844775	SRR3747672
SAMN02843543	SRR3747653
SAMN03577027	SRR3272111
SAMN03577026	SRR3272062
SAMN03577005	SRR2981162
SAMN03577015	SRR2981161
SAMN03577020	SRR2981160
SAMN03577010	SRR2981159
SAMN03577017	SRR2981158
SAMN03577012	SRR2981157
SAMN03577022	SRR2981156
SAMN03577019	SRR2981154
SAMN03577014	SRR2981152
SAMN03577009	SRR2981151
SAMN03577006	SRR2981150
SAMN03577016	SRR2981149
SAMN03577011	SRR2981148
SAMN03577021	SRR2981145
SAMN03577018	SRR2981144
SAMN03577013	SRR2981143
SAMN03577008	SRR2981142
SAMN03577023	SRR2981141
SAMN03577032	SRR2960797
SAMN03577029	SRR2960796
SAMN03577034	SRR2960795
SAMN03577031	SRR2960794
SAMN03577028	SRR2960792
SAMN03577033	SRR2960791
SAMN03577039	SRR2960773
SAMN03576990	SRR2847947
SAMN03576992	SRR2847946
SAMN03576997	SRR2847945
SAMN03576987	SRR2847944
SAMN03576994	SRR2847943
SAMN03576989	SRR2847942
SAMN03576999	SRR2847941
SAMN03577001	SRR2847940
SAMN03576996	SRR2847939
SAMN03576991	SRR2847938
SAMN03576988	SRR2847937
SAMN03576993	SRR2847936
SAMN03576998	SRR2847935
SAMN03576985	SRR2534110
SAMN03576984	SRR2534109
SAMN03576983	SRR2534108
SAMN03576982	SRR2534107
SAMN03576981	SRR2534106
SAMN03576980	SRR2534105
SAMN03576979	SRR2534104
SAMN03576978	SRR2534103
SAMN03576977	SRR2534102
SAMN03576976	SRR2534101
SAMN03576975	SRR2534100
SAMN03576974	SRR2534099
SAMN03576973	SRR2534098
SAMN03576972	SRR2534097
SAMN03576970	SRR2534095
SAMN03580928	SRR2534094
SAMN03576969	SRR2534093
SAMN03576968	SRR2534092
SAMN03576967	SRR2534091
SAMN03576966	SRR2534090
SAMN03576965	SRR2534089
SAMN03576955	SRR2534088
SAMN03576954	SRR2534087
SAMN03576964	SRR2163259
SAMN03576961	SRR2163258
SAMN03576959	SRR2163255
SAMN03576956	SRR2163254
SAMN03576963	SRR2163247
SAMN03576962	SRR2163246
SAMN03576958	SRR2163243
