SAMN33426663	SRR23603313
SAMN33426662	SRR23603200
SAMN33426661	SRR23603201
SAMN33426660	SRR23603202
SAMN33426659	SRR23603203
SAMN33426658	SRR23603205
SAMN33426657	SRR23603206
SAMN33426656	SRR23603207
SAMN33426655	SRR23603208
SAMN33426654	SRR23603209
SAMN33426653	SRR23603210
SAMN33426652	SRR23603211
SAMN33426651	SRR23603212
SAMN33426650	SRR23603213
SAMN33426649	SRR23603214
SAMN33426648	SRR23603216
SAMN33426647	SRR23603217
SAMN33426646	SRR23603218
SAMN33426645	SRR23603219
SAMN33426644	SRR23603220
SAMN33426643	SRR23603221
SAMN33426642	SRR23603222
SAMN33426641	SRR23603223
SAMN33426640	SRR23603224
SAMN33426639	SRR23603225
SAMN33426638	SRR23603227
SAMN33426637	SRR23603228
SAMN33426636	SRR23603229
SAMN33426634	SRR23603231
SAMN33426633	SRR23603232
SAMN33426632	SRR23603233
SAMN33426631	SRR23603234
SAMN33426630	SRR23603235
SAMN33426629	SRR23603236
SAMN33426627	SRR23603239
SAMN33426686	SRR23603290
SAMN33426685	SRR23603291
SAMN33426684	SRR23603292
SAMN33426683	SRR23603293
SAMN33426682	SRR23603294
SAMN33426681	SRR23603295
SAMN33426680	SRR23603296
SAMN33426679	SRR23603297
SAMN33426678	SRR23603299
SAMN33426677	SRR23603300
SAMN33426676	SRR23603301
SAMN33426675	SRR23603302
SAMN33426674	SRR23603303
SAMN33426673	SRR23603304
SAMN33426672	SRR23603305
SAMN33426671	SRR23603306
SAMN33426668	SRR23603307
SAMN33426667	SRR23603309
SAMN33426666	SRR23603310
SAMN33426665	SRR23603311
SAMN33426664	SRR23603312
SAMN33426670	SRR23603308
SAMN33426669	SRR23603314
SAMN13527208	SRR10665530
SAMN13527207	SRR10665531
SAMN13527205	SRR10665533
SAMN13527204	SRR10665534
SAMN13527203	SRR10665535
SAMN13527235	SRR10665538
SAMN13527234	SRR10665539
SAMN13527233	SRR10665540
SAMN13527232	SRR10665541
SAMN13527202	SRR10665545
SAMN13527225	SRR10665549
SAMN13527224	SRR10665550
SAMN13527223	SRR10665551
SAMN13527222	SRR10665552
SAMN13527221	SRR10665553
SAMN13527220	SRR10665554
SAMN13527219	SRR10665555
SAMN13527201	SRR10665556
SAMN13527218	SRR10665557
SAMN13527217	SRR10665558
SAMN13527216	SRR10665559
SAMN13527215	SRR10665560
SAMN13527214	SRR10665561
SAMN13527213	SRR10665562
SAMN13527212	SRR10665563
SAMN13527211	SRR10665564
SAMN13527210	SRR10665565
SAMN13527209	SRR10665566
SAMN13527200	SRR10665567
SAMN13527199	SRR10665568
