#Organism group	Strain	Isolate identifiers	Serovar	Isolate	Create date	Location	Isolation source	Isolation type	SNP cluster	Min-same	Min-diff	BioSample	Assembly	AMR genotypes	Computed types
Salmonella enterica	CFSAN059903	"CFSAN059903,""ID 85"",""SRS2238144"""	Carno	PDT000236024.2	2021-06-07T16:09:27Z	Nigeria	cattle stool (Bos taurus)	environmental/other	PDS000019592.8	5.0	7.0	SAMN07163935	GCA_002265865.2	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=8:z4,z23:-,serotype=Corvallis
Salmonella enterica	CFSAN059900	"AK 587,""CFSAN059900"",""SRS2238147"""	Ealing	PDT000236025.1	2017-08-23T00:01:32Z	Nigeria	cattle stool (Bos taurus)	environmental/other				SAMN07163938	GCA_002265925.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=35:g,m,s:-,serotype=Ealing
Salmonella enterica	CFSAN059897	"CFSAN059897,""DE 126"",""SRS2238072"""	Altendorf	PDT000236026.1	2017-08-23T00:01:39Z	Nigeria	cattle stool (Bos taurus)	environmental/other				SAMN07163941	GCA_002265935.1	fosA7=MISTRANSLATION,mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=4:c:1,7,serotype=Altendorf
Salmonella enterica	CFSAN059901	"CFSAN059901,""JM 580"",""SRS2238145"""	Glostrup	PDT000236027.1	2017-08-23T00:02:08Z	Nigeria	cattle stool (Bos taurus)	environmental/other				SAMN07163937	GCA_002265965.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=8:z10:e,n,z15,serotype=Glostrup or Chomedey
Salmonella enterica	CFSAN059902	"1D 80,""CFSAN059902"",""SRS2238150"""	Ekotedo	PDT000236028.1	2017-08-23T00:02:09Z	Nigeria	cattle stool (Bos taurus)	environmental/other				SAMN07163936	GCA_002265975.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=9,46:z4,z23:-,serotype=Ekotedo
Salmonella enterica	CFSAN059894	"CFSAN059894,""DE 104"",""SRS2238071"""	Plymouth	PDT000236029.1	2017-08-23T00:02:09Z	Nigeria	cattle stool (Bos taurus)	environmental/other				SAMN07163944	GCA_002265985.1	mdsA=COMPLETE,mdsB=COMPLETE	
Salmonella enterica	CFSAN059891	"CFSAN059891,""DE 84"",""SRS2224671"""	Tees	PDT000236030.1	2017-08-23T00:02:10Z	Nigeria	cattle stool (Bos taurus)	environmental/other				SAMN07162989	GCA_002265995.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=16:f,g:-,serotype=Tees
Salmonella enterica	CFSAN059896	"CFSAN059896,""DE 119"",""SRS2238142"""	47:z4,z23:-	PDT000236031.1	2017-08-23T00:02:35Z	Nigeria	cattle stool (Bos taurus)	environmental/other				SAMN07163942	GCA_002266055.1	mdsA=COMPLETE,mdsB=COMPLETE	
Salmonella enterica	CFSAN059889	"CFSAN059889,""DE 62"",""SRS2224669"""	Takoradi	PDT000236032.1	2017-08-23T00:02:36Z	Nigeria	cattle stool (Bos taurus)	environmental/other				SAMN07162990	GCA_002266045.1	mdsA=COMPLETE,mdsB=COMPLETE	
Salmonella enterica	CFSAN059890	"CFSAN059890,""DE 71"",""SRS2238157"""	Ekotedo	PDT000236033.1	2017-08-23T00:02:51Z	Nigeria	cattle stool (Bos taurus)	environmental/other	PDS000036144.1	5.0		SAMN07163946	GCA_002266095.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=9,46:z4,z23:-,serotype=Ekotedo
Salmonella enterica	CFSAN059898	"CFSAN059898,""DE 140"",""SRS2238149"""	Dublin	PDT000236034.2	2021-06-07T16:10:26Z	Nigeria	cattle stool (Bos taurus)	environmental/other	PDS000019571.5	3.0	43.0	SAMN07163940	GCA_002266085.2	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=9:g,p:-,serotype=Dublin
Salmonella enterica	CFSAN059895	"CFSAN059895,""DE 112"",""SRS2238141"""	Hato	PDT000236035.1	2017-08-23T00:03:46Z	Nigeria	cattle stool (Bos taurus)	environmental/other	PDS000036141.1	5.0		SAMN07163943	GCA_002266125.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=4:g,m,s:-,serotype=Hato
Salmonella enterica	CFSAN059892	"CFSAN059892,""DE 92"",""SRS2238152"""	Bergen	PDT000236036.1	2017-08-23T00:03:48Z	Nigeria	cattle stool (Bos taurus)	environmental/other				SAMN07163945	GCA_002266135.1	fosA7=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE	
Salmonella enterica	CFSAN059887	"CFSAN059887,""DE 50"",""SRS2238158"""	Marseille	PDT000236037.1	2017-08-23T01:01:32Z	Nigeria	cattle stool (Bos taurus)	environmental/other	PDS000036155.8	2.0		SAMN07163948	GCA_002266165.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=11:a:1,5,serotype=Marseille
Salmonella enterica	CFSAN059888	"CFSAN059888,""DE 55"",""SRS2238153"""	Sundsvall	PDT000236038.1	2017-08-23T01:01:34Z	Nigeria	cattle stool (Bos taurus)	environmental/other				SAMN07163947	GCA_002266175.1	mdsA=COMPLETE,mdsB=COMPLETE	
Salmonella enterica	CFSAN059883	"CFSAN059883,""DE 16"",""SRS2238146"""	Eastbourne	PDT000236039.2	2021-06-07T16:11:26Z	Nigeria	cattle stool (Bos taurus)	environmental/other	PDS000036142.2	0.0		SAMN07163931	GCA_002266205.2	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=9:e,h:1,5,serotype=Eastbourne
Salmonella enterica	CFSAN059885	"CFSAN059885,""DE 38"",""SRS2238154"""	Give	PDT000236040.1	2017-08-23T01:02:08Z	Nigeria	cattle stool (Bos taurus)	environmental/other	PDS000036148.1	0.0		SAMN07163929	GCA_002266215.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=3,10:l,v:1,7,serotype=Give
Salmonella enterica	CFSAN059880	"CFSAN059880,""DE 3"",""SRS2238155"""	Johannesburg	PDT000236041.1	2017-08-23T01:02:25Z	Nigeria	cattle stool (Bos taurus)	environmental/other				SAMN07163934	GCA_002266255.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=40:b:e,n,x,serotype=Johannesburg
Salmonella enterica	CFSAN059882	"CFSAN059882,""DE 7"",""SRS2238148"""	Stanleyville	PDT000236042.1	2017-08-23T01:02:26Z	Nigeria	cattle stool (Bos taurus)	environmental/other	PDS000015697.6	2.0	16.0	SAMN07163932	GCA_002266245.1	fosA7=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=4:z4,z23:1,2,serotype=Stanleyville
Salmonella enterica	CFSAN059884	"CFSAN059884,""DE 28"",""SRS2238143"""	Agoueve	PDT000236043.1	2017-08-23T01:03:39Z	Nigeria	cattle stool (Bos taurus)	environmental/other				SAMN07163930	GCA_002266315.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=13:z29:-,serotype=Agoueve
Salmonella enterica	CFSAN059886	"CFSAN059886,""DE 42"",""SRS2238151"""	Hadar	PDT000236044.1	2017-08-23T01:03:39Z	Nigeria	cattle stool (Bos taurus)	environmental/other				SAMN07163928	GCA_002266305.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=8:z10:e,n,x,serotype=Hadar
Salmonella enterica	CFSAN059881	"CFSAN059881,""DE 5"",""SRS2238156"""	Dublin	PDT000236045.2	2021-06-07T16:12:24Z	Nigeria	cattle stool (Bos taurus)	environmental/other	PDS000015697.6	2.0	18.0	SAMN07163933	GCA_002266325.2	fosA7=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=4:z4,z23:1,2,serotype=Stanleyville
Salmonella enterica	CFSAN059899	"AK 585,""CFSAN059899"",""SRS2238140"""	Essen	PDT000250679.1	2017-10-10T19:25:00Z	Nigeria	cattle stool (Bos taurus)	environmental/other				SAMN07163939	GCA_002507445.1	blaTEM=PARTIAL_END_OF_CONTIG,floR=COMPLETE,fosA7=MISTRANSLATION,mdsA=COMPLETE,mdsB=COMPLETE,qnrS1=COMPLETE,tet(A)=COMPLETE	antigen_formula=4:g,m:-,serotype=Essen
Salmonella enterica	CFSAN064267	"CFSAN064267,""ID-86"",""SRS3126881"""		PDT000303517.2	2018-04-05T15:41:24Z	Nigeria	cattle stool (Bos taurus)	environmental/other	PDS000027970.437	6.0	15.0	SAMN07134898	GCA_006073375.1	aac(3)-Id=COMPLETE,aadA7=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,gyrA_D87G=POINT,gyrA_S83F=POINT,mdsA=COMPLETE,mdsB=COMPLETE,parC_S80I=POINT,sul1=COMPLETE,tet(A)=COMPLETE	antigen_formula=8:i:z6,serotype=Kentucky
Salmonella enterica	CFSAN064271	"CFSAN064271,""DE-59"",""SRS3127104"""	Dublin	PDT000303520.2	2018-04-05T15:41:25Z	Nigeria	cattle stool (Bos taurus)	environmental/other				SAMN07135162	GCA_010945935.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=9:g,p:-,serotype=Dublin
Salmonella enterica	CFSAN064268	"1D-96,""CFSAN064268"",""SRS3127574"""		PDT000303524.2	2018-04-05T15:41:26Z	Nigeria	cattle stool (Bos taurus)	environmental/other	PDS000029289.7	1.0		SAMN07134901	GCA_006073235.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,qnrS1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	antigen_formula=4:g,s,t:-,serotype=Kingston
Salmonella enterica	CFSAN064270	"CFSAN064270,""DE-11"",""SRS3127579"""	Dublin	PDT000303525.2	2018-04-05T16:40:22Z	Nigeria	cattle stool (Bos taurus)	environmental/other	PDS000029289.7	1.0		SAMN07135163	GCA_004219865.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,qnrS1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	antigen_formula=4:g,s,t:-,serotype=Kingston
Salmonella enterica	CFSAN064275	"CFSAN064275,""DE-130"",""SRS3127583"""	Give	PDT000303526.2	2018-04-05T16:40:22Z	Nigeria	cattle stool (Bos taurus)	environmental/other				SAMN07135160	GCA_011154455.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=3,10:l,v:1,7,serotype=Give
Salmonella enterica	CFSAN064272	"CFSAN064272,""DE-133"",""SRS3131356"""	Dublin	PDT000303623.2	2018-04-05T21:39:53Z	Nigeria	cattle stool (Bos taurus)	environmental/other				SAMN07135161	GCA_011162155.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=9:g,p:-,serotype=Dublin
Salmonella enterica	CFSAN064273	"CFSAN064273,""DE-142"",""SRS3131358"""	Dublin	PDT000303625.2	2018-04-05T21:39:53Z	Nigeria	cattle stool (Bos taurus)	environmental/other	PDS000019571.5	3.0	44.0	SAMN07135200	GCA_011567865.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=9:g,p:-,serotype=Dublin
Salmonella enterica	CFSAN064274	"CFSAN064274,""DE-99"",""SRS3131359"""	Give	PDT000303626.2	2018-04-05T21:39:54Z	Nigeria	cattle stool (Bos taurus)	environmental/other				SAMN07135210	GCA_011576085.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=3,10:l,v:1,7,serotype=Give
Salmonella enterica	CFSAN070309	"CFSAN070309,""DE 73"",""SRS3721828"""		PDT000367932.1	2018-08-29T00:08:50Z	Nigeria	stool (Bos taurus)	environmental/other	PDS000036144.1	4.0		SAMN07774650	GCA_004226225.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=9,46:z4,z23:-,serotype=Ekotedo
Salmonella enterica	CFSAN070318	"CFSAN070318,""DE 124"",""SRS3721837"""		PDT000367933.1	2018-08-29T00:08:50Z	Nigeria	stool (Bos taurus)	environmental/other	PDS000039276.3		37.0	SAMN07774958	GCA_005760995.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=4:i:1,2,serotype=Typhimurium
