#Organism group	Strain	Isolate identifiers	Serovar	Isolate	Create date	Location	Isolation source	Isolation type	SNP cluster	Min-same	Min-diff	BioSample	Assembly	AMR genotypes core	Computed types
Salmonella enterica	BCW_2745	"1260","BCW_2745","SRS865351"	Newport	PDT000197382.1	2017-03-22T15:19:46Z	Mauritius	chicken	environmental/other	PDS000045609.1		44	SAMN02368622	GCA_002064305.1		antigen_formula=8:e,h:1,2,serotype=Newport
Salmonella enterica	MAU319	"MAU319","SRS8232282"		PDT001255371.1	2022-02-28T14:34:13Z	Mauritius	raw chicken - Innodis	environmental/other	PDS000065758.724	1	0	SAMN17861347	GCA_022414795.1		antigen_formula=9:g,m:-,serotype=Enteritidis
Salmonella enterica	MAU318	"MAU318","SRS8232281"		PDT001255372.1	2022-02-28T14:34:13Z	Mauritius	raw chicken	environmental/other	PDS000065758.724	3	3	SAMN17861346	GCA_022415125.1		antigen_formula=9:g,m:-,serotype=Enteritidis
Salmonella enterica	MAU317	"MAU317","SRS8232280"		PDT001255373.1	2022-02-28T14:34:14Z	Mauritius	raw chicken	environmental/other	PDS000065758.724	4	4	SAMN17861345	GCA_022415165.1		antigen_formula=9:g,m:-,serotype=Enteritidis
Salmonella enterica	MAU316	"MAU316","SRS8232279"		PDT001255374.1	2022-02-28T14:34:14Z	Mauritius	raw chicken - Prodigal	environmental/other	PDS000065758.724	1	1	SAMN17861344	GCA_022415135.1		antigen_formula=9:g,m:-,serotype=Enteritidis
Salmonella enterica	MAU358	"MAU358","SRS8232278"		PDT001255375.1	2022-02-28T14:34:14Z	Mauritius	raw chicken	environmental/other	PDS000065758.724	0	9	SAMN17861351	GCA_022415445.1		antigen_formula=9:g,m:-,serotype=Enteritidis
Salmonella enterica	MAU337	"MAU337","SRS8232277"		PDT001255376.1	2022-02-28T14:34:15Z	Mauritius	chicken - Chantecler	environmental/other	PDS000065758.724	4	4	SAMN17861350	GCA_022414895.1		antigen_formula=9:g,m:-,serotype=Enteritidis
Salmonella enterica	MAU327	"MAU327","SRS8232276"		PDT001255377.1	2022-02-28T14:34:15Z	Mauritius	chicken - Prodigal	environmental/other	PDS000065758.724	1	1	SAMN17861349	GCA_022414855.1		antigen_formula=9:g,m:-,serotype=Enteritidis
Salmonella enterica	MAU326	"MAU326","SRS8232275"		PDT001255378.1	2022-02-28T14:34:15Z	Mauritius	raw chicken - Prodigal	environmental/other	PDS000065758.724	7	5	SAMN17861348	GCA_022414935.1		antigen_formula=9:g,m:-,serotype=Enteritidis
Salmonella enterica	2010K-0358	"2010K-0358","SRS13522721"		PDT001412267.1	2022-09-08T13:42:54Z	Mauritius	Raw chicken	environmental/other	PDS000065758.724	0	9	SAMN29253043	GCA_025110085.1		antigen_formula=2:g,m:-,serotype=Enteritidis
Salmonella enterica	2010K-0348	"2010K-0348","SRS13522699"		PDT001412269.1	2022-09-08T13:42:54Z	Mauritius	Uncooked chicken tikka	environmental/other	PDS000065758.724	0	0	SAMN29253041	GCA_025110045.1		antigen_formula=2:g,m:-,serotype=Enteritidis
