#Organism group	Strain	Isolate identifiers	Serovar	Isolate	Create date	Location	Isolation source	Isolation type	SNP cluster	Min-same	Min-diff	BioSample	Assembly	AMR genotypes core	Computed types
Salmonella enterica	S. Enteritidis/Gallinarum ST 78	"Adult scavenging local chickens","S. Enteritidis/Gallinarum ST 78","SRS6094824","TZ_7"	Gallinarum	PDT001251328.1	2022-02-17T23:29:26Z	Tanzania	Faeces sampled by cloacal swab	environmental/other				SAMN13964333	GCA_022595975.1	gyrA_D87N=POINT	antigen_formula=9:g,m:-,serotype=Gallinarum or Enteritidis
Salmonella enterica	S. Braenderup ST 22	"Adult scavenging local chickens","S. Braenderup ST 22","SRS6094822","TZ_6"	Braenderup	PDT001251329.1	2022-02-17T23:29:26Z	Tanzania	Faeces sampled by cloacal swab	environmental/other				SAMN13964332	GCA_022598035.1		antigen_formula=7:e,h:e,n,z15,serotype=Braenderup
Salmonella enterica	S. Ball (5)	"Adult scavenging local chickens","S. Ball (5)","SRS6094817","TZ_24"	Ball	PDT001251333.1	2022-02-17T23:29:27Z	Tanzania	Faeces sampled by cloacal swab	environmental/other				SAMN13964346	GCA_022598015.1		antigen_formula=4:-:1,5,serotype=II 4:-:1,5
Salmonella enterica	S. Haardt/Blockley	"Adult scavenging local chickens","S. Haardt/Blockley","SRS6094813","TZ_15"	Haardt	PDT001251338.1	2022-02-17T23:29:29Z	Tanzania	Faeces sampled by cloacal swab	environmental/other				SAMN13964341	GCA_022596195.1		antigen_formula=8:k:1,5,serotype=Blockley
Salmonella enterica	S. Typhimurium ST 19	"Adult scavenging local chickens","S. Typhimurium ST 19","SRS6094812","TZ_13"	Typhimurium	PDT001251340.1	2022-02-17T23:29:29Z	Tanzania	Faeces sampled by cloacal swab	environmental/other				SAMN13964339	GCA_022596155.1		antigen_formula=4:i:1,2,serotype=Typhimurium
Salmonella enterica	HAZEL-252	"HAZEL-252"	Kisarawe	PDT001107415.1	2021-08-10T17:22:53Z	Tanzania: Arusha	environmental	environmental/other				SAMN13906155	GCA_019516025.1		antigen_formula=11:k:e,n,x,serotype=Kisarawe
Salmonella enterica	HAZEL-154	"HAZEL-154"	Kingabwa	PDT001107491.1	2021-08-10T17:32:23Z	Tanzania: Moshi	meat	environmental/other				SAMN13906063	GCA_019517805.1	fosA7.7=COMPLETE	antigen_formula=43:y:1,5,serotype=Kingabwa
Salmonella enterica	HAZEL-141	"HAZEL-141"	Richmond	PDT001107506.1	2021-08-10T17:34:34Z	Tanzania: Arusha	meat	environmental/other				SAMN13906050	GCA_019518285.1		antigen_formula=7:y:1,2,serotype=Richmond
Salmonella enterica	HAZEL-059	"HAZEL-059"	Poona	PDT001107583.1	2021-08-10T17:43:45Z	Tanzania: Arusha	meat	environmental/other				SAMN13905969	GCA_019519885.1		antigen_formula=13:z:1,6,serotype=Poona
Salmonella enterica	HAZEL-015	"HAZEL-015"	Chandans	PDT001107626.1	2021-08-10T17:53:48Z	Tanzania: Arusha	feces	environmental/other				SAMN13905925	GCA_019521295.1		antigen_formula=11:d:e,n,x,serotype=Chandans
