#Organism group	Strain	Isolate identifiers	Serovar	Isolate	Create date	Location	Isolation source	Isolation type	SNP cluster	Min-same	Min-diff	BioSample	Assembly	AMR genotypes core	Computed types
Salmonella enterica	951431	"951431","ERS4936839","SAL_BB8924AA"	Typhi	PDT000912003.1	2020-12-12T05:31:59Z	South Africa: Western Cape	human	clinical	PDS000002867.944	16	37	SAMEA7176401		aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,dfrA7=COMPLETE,sul1=COMPLETE,sul2=COMPLETE	antigen_formula=9:d:-,serotype=Typhi
Salmonella enterica	YA00149519	"ERS4936841","SAL_BB8999AA","YA00149519"	Typhi	PDT000912005.1	2020-12-12T05:32:00Z	South Africa: Mpumalanga	human	clinical	PDS000077326.2	3		SAMEA7176403			antigen_formula=9:d:-,serotype=Typhi
Salmonella enterica	947725	"947725","ERS4936849","SAL_BB8920AA"	Typhi	PDT000912013.1	2020-12-12T05:32:03Z	South Africa: Limpopo	human	clinical				SAMEA7176411			antigen_formula=9:d:-,serotype=Typhi
Salmonella enterica	YA00190952	"ERS4936850","SAL_BB9327AA","YA00190952"	Typhi	PDT000912014.1	2020-12-12T05:32:03Z	South Africa: Gauteng	human	clinical	PDS000004460.6			SAMEA7176412			antigen_formula=9:d:-,serotype=Typhi
Salmonella enterica	950039	"950039","ERS4936921","SAL_BB8922AA"	Typhi	PDT000912085.1	2020-12-12T05:32:27Z	South Africa: Mpumalanga	human	clinical				SAMEA7176484			antigen_formula=9:d:-,serotype=Typhi
Salmonella enterica	950427	"950427","ERS4936922","SAL_BB8923AA"	Typhi	PDT000912086.1	2020-12-12T05:32:27Z	South Africa: Gauteng	human	clinical	PDS000002867.944	9	23	SAMEA7176485		aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,dfrA7=COMPLETE,gyrA_S83Y=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(B)=COMPLETE	antigen_formula=9:d:-,serotype=Typhi
Salmonella enterica	YA00158372	"ERS4936923","SAL_BB8996AA","YA00158372"	Typhi	PDT000912087.1	2020-12-12T05:32:28Z	South Africa: Western Cape	human	clinical	PDS000002867.944	0	29	SAMEA7176486		aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,dfrA14=COMPLETE,dfrA7=COMPLETE,qnrS1=COMPLETE,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	antigen_formula=9:d:-,serotype=Typhi
Salmonella enterica	YA00158713	"ERS4936924","SAL_BB8997AA","YA00158713"	Typhi	PDT000912088.1	2020-12-12T05:32:28Z	South Africa: Gauteng	human	clinical	PDS000002867.944	11	30	SAMEA7176487		aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,dfrA7=COMPLETE,sul1=COMPLETE,sul2=COMPLETE	antigen_formula=9:d:-,serotype=Typhi
Salmonella enterica	YA00187039	"ERS4936925","SAL_BB8998AA","YA00187039"	Typhi	PDT000912089.1	2020-12-12T05:32:28Z	South Africa: Limpopo	human	clinical	PDS000077270.2	0		SAMEA7176488			antigen_formula=9:d:-,serotype=Typhi
Salmonella enterica	YA00190660	"ERS4936926","SAL_BB9329AA","YA00190660"	Typhi	PDT000912090.1	2020-12-12T05:32:29Z	South Africa: Gauteng	human	clinical	PDS000002867.944	6	23	SAMEA7176489		aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,dfrA7=COMPLETE,sul1=COMPLETE,sul2=COMPLETE	antigen_formula=9:d:-,serotype=Typhi
Salmonella enterica	YA00189817	"ERS4936967","SAL_BB9328AA","YA00189817"	Typhi	PDT000912131.1	2020-12-12T05:32:42Z	South Africa: Gauteng	human	clinical	PDS000002867.944	2	32	SAMEA7176530		aph(3'')-Ib=COMPLETE,aph(3'')-Ib=PARTIAL,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,dfrA14=COMPLETE,dfrA7=COMPLETE,qnrS1=COMPLETE,sul1=COMPLETE,sul2=COMPLETE,sul2=PARTIAL_END_OF_CONTIG	antigen_formula=9:d:-,serotype=Typhi
Salmonella enterica	YA00107540	"ERS4936972","SAL_TA9393AA","YA00107540"	Typhi	PDT000912136.1	2020-12-12T05:32:43Z	South Africa: Limpopo	human	clinical	PDS000077424.1	10		SAMEA7176535			antigen_formula=-:d:-,serotype=I -:d:-
Salmonella enterica	YA00192211	"ERS4937010","SAL_DB9671AA","YA00192211"		PDT000912174.1	2020-12-12T05:32:54Z	South Africa	human	clinical	PDS000065758.734	0	1	SAMEA7176573	GCA_016025335.1		antigen_formula=9:g,m:-,serotype=Enteritidis
Salmonella enterica	YA00206825	"ERS4937060","SAL_DB7307AA","YA00206825"	enteritidis	PDT000912217.1	2020-12-12T05:33:08Z	South Africa: Gauteng	human	clinical	PDS000065758.734	0	17	SAMEA7176623			antigen_formula=9:g,m:-,serotype=Enteritidis
Salmonella enterica	948053	"948053","ERS4937079","SAL_BB8921AA"	Typhi	PDT000912236.1	2020-12-12T05:33:13Z	South Africa: KwaZulu-Natal	human	clinical	PDS000002867.944	1	7	SAMEA7176642		gyrA_D87N=POINT,gyrA_S83F=POINT,parC_S80I=POINT	antigen_formula=9:d:-,serotype=Typhi
Salmonella enterica	951719	"951719","ERS4937080","SAL_BB8925AA"	Typhi	PDT000912237.1	2020-12-12T05:33:14Z	South Africa: KwaZulu-Natal	human	clinical	PDS000002867.944	2	22	SAMEA7176643		gyrA_S83F=POINT	antigen_formula=9:d:-,serotype=Typhi
Salmonella enterica	YA00185919	"ERS4937081","SAL_BB8993AA","YA00185919"	Typhi	PDT000912238.1	2020-12-12T05:33:14Z	South Africa: Eastern Cape	human	clinical	PDS000002867.944	0	8	SAMEA7176644		aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,dfrA7=COMPLETE,gyrA_S83F=POINT,sul1=COMPLETE,sul2=COMPLETE	antigen_formula=9:d:-,serotype=Typhi
Salmonella enterica	YA00159220	"ERS4937082","SAL_BB8994AA","YA00159220"	Typhi	PDT000912239.1	2020-12-12T05:33:14Z	South Africa: Eastern Cape	human	clinical	PDS000002867.944	0	6	SAMEA7176645		aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,dfrA7=COMPLETE,gyrA_S83F=POINT,sul1=COMPLETE,sul2=COMPLETE	antigen_formula=9:d:-,serotype=Typhi
Salmonella enterica	YA00186017	"ERS4937083","SAL_BB8995AA","YA00186017"	Typhi	PDT000912240.1	2020-12-12T05:33:14Z	South Africa: Gauteng	human	clinical	PDS000002867.944	1	26	SAMEA7176646		aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,dfrA7=COMPLETE,sul1=COMPLETE,sul2=COMPLETE	antigen_formula=9:d:-,serotype=Typhi
Salmonella enterica	YA00189810	"ERS4937084","SAL_BB9326AA","YA00189810"	Typhi	PDT000912241.1	2020-12-12T05:33:15Z	South Africa: Gauteng	human	clinical	PDS000002867.944	1	22	SAMEA7176647		aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,dfrA7=COMPLETE,sul1=COMPLETE,sul2=COMPLETE	antigen_formula=9:d:-,serotype=Typhi
Salmonella enterica	YA00190953	"ERS4937085","SAL_BB9330AA","YA00190953"	Typhi	PDT000912242.1	2020-12-12T05:33:15Z	South Africa: Gauteng	human	clinical	PDS000002867.944	2	28	SAMEA7176648		aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,dfrA7=COMPLETE,sul1=COMPLETE,sul2=COMPLETE	antigen_formula=9:d:-,serotype=Typhi
Salmonella enterica	TCD0893708	"ERS4937171","SAL_UA3595AA","TCD0893708"	Bardo	PDT000912314.1	2020-12-12T05:33:37Z	South Africa	human	clinical	PDS000077319.4	0		SAMEA7176734			antigen_formula=8:e,h:1,2,serotype=Newport
Salmonella enterica	TCD0703905	"ERS4937172","SAL_UA3596AA","TCD0703905"	Bardo	PDT000912315.1	2020-12-12T05:33:38Z	South Africa	human	clinical	PDS000030052.7	7		SAMEA7176735		aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,floR=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	antigen_formula=8:e,h:1,2,serotype=Newport
Salmonella enterica	TCD0885246	"ERS4937173","SAL_UA3599AA","TCD0885246"	Bardo	PDT000912316.1	2020-12-12T05:33:38Z	South Africa	human	clinical	PDS000030052.7	6		SAMEA7176736		acrB_R717L=POINT,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,floR=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	antigen_formula=8:e,h:1,2,serotype=Newport
Salmonella enterica	TCD0748736	"ERS4937174","SAL_UA3600AA","TCD0748736"	Bardo	PDT000912317.1	2020-12-12T05:33:38Z	South Africa	human	clinical	PDS000030052.7	3		SAMEA7176737		acrB_R717L=POINT,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,floR=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	antigen_formula=8:e,h:1,2,serotype=Newport
Salmonella enterica	TCD0704270	"ERS4937175","SAL_UA3602AA","TCD0704270"	Bardo	PDT000912318.1	2020-12-12T05:33:38Z	South Africa	human	clinical	PDS000030052.7	8		SAMEA7176738		aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,floR=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	antigen_formula=8:e,h:1,2,serotype=Newport
Salmonella enterica	TCD0893697	"ERS4937176","SAL_UA3604AA","TCD0893697"	Bardo	PDT000912319.1	2020-12-12T05:33:39Z	South Africa	human	clinical	PDS000077319.4	0		SAMEA7176739			antigen_formula=8:e,h:1,2,serotype=Newport
Salmonella enterica	IH00441878	"ERS4937177","IH00441878","SAL_UA3605AA"	Bardo	PDT000912320.1	2020-12-12T05:33:39Z	South Africa	human	clinical	PDS000030052.7	7		SAMEA7176740		aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,floR=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	antigen_formula=8:e,h:1,2,serotype=Newport
Salmonella enterica	TCD0248304	"ERS4937205","SAL_UA3601AA","TCD0248304"	Bardo	PDT000912344.1	2020-12-12T05:33:46Z	South Africa	human	clinical	PDS000030052.7	3		SAMEA7176768		acrB_R717L=POINT,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,floR=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	antigen_formula=8:e,h:1,2,serotype=Newport
Salmonella enterica	YA00166875	"ERS6282666","SAL_BB8173AA","YA00166875"	Typhi	PDT001020623.1	2021-05-06T10:38:46Z	South Africa: KwaZulu-Natal	human	clinical	PDS000002867.944	1	27	SAMEA8598035		aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,dfrA7=COMPLETE,sul1=COMPLETE,sul2=COMPLETE	antigen_formula=9:d:-,serotype=Typhi
Salmonella enterica	YA00173848	"ERS6282703","SAL_BB8101AA","YA00173848"	Typhi	PDT001020660.1	2021-05-06T10:39:09Z	South Africa: Gauteng	human	clinical	PDS000002867.944	1	26	SAMEA8598072		aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,catA1=COMPLETE,dfrA7=COMPLETE,sul1=COMPLETE,sul2=COMPLETE	antigen_formula=9:d:-,serotype=Typhi
