#Organism group	Strain	Isolate identifiers	Serovar	Isolate	Create date	Location	Isolation source	Isolation type	SNP cluster	Min-same	Min-diff	BioSample	Assembly	AMR genotypes core	Computed types
Salmonella enterica	IPD_NCSU71	"CFSAN094708","IPD_NCSU71","SRS4972112"		PDT000522639.1	2019-06-14T00:51:28Z	Senegal	broiler chicken	environmental/other	PDS000046529.10	0	8	SAMN12056294	GCA_006456025.1	aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,dfrA1=COMPLETE,sul2=COMPLETE,tet(B)=COMPLETE	antigen_formula=4:z29:-,serotype=Brancaster
Salmonella enterica	IPD_NCSU76	"CFSAN094713","IPD_NCSU76","SRS4972115"		PDT000522642.1	2019-06-14T00:51:28Z	Senegal	broiler chicken	environmental/other	PDS000046530.8	0	28	SAMN12056293	GCA_006456105.1		antigen_formula=4:d:1,7,serotype=Schwarzengrund
Salmonella enterica	IPD_NCSU70	"CFSAN094707","IPD_NCSU70","SRS4972127"		PDT000522652.1	2019-06-14T00:51:30Z	Senegal	broiler chicken	environmental/other	PDS000046529.10	0	9	SAMN12056318	GCA_006454925.1	aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,dfrA1=COMPLETE,sul2=COMPLETE,tet(B)=COMPLETE	antigen_formula=4:z29:-,serotype=Brancaster
Salmonella enterica	IPD_NCSU61	"CFSAN094698","IPD_NCSU61","SRS4972130"		PDT000522656.1	2019-06-14T00:51:30Z	Senegal	broiler chicken	environmental/other	PDS000129878.121	0	18	SAMN12056331	GCA_006456125.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,tet(A)=COMPLETE	antigen_formula=8:z10:e,n,x,serotype=Hadar
Salmonella enterica	IPD_NCSU48	"CFSAN094685","IPD_NCSU48","SRS4972142"		PDT000522667.1	2019-06-14T00:51:32Z	Senegal	broiler chicken	environmental/other	PDS000027970.437	7	9	SAMN12056335	GCA_006456225.1	aph(3'')-Ib=PARTIAL,aph(3'')-Ib=PARTIAL_END_OF_CONTIG,aph(6)-Id=COMPLETE,dfrA14=COMPLETE,gyrA_D87N=POINT,gyrA_S83F=POINT,parC_S80I=POINT,sul2=COMPLETE,tet(A)=COMPLETE	antigen_formula=8:i:z6,serotype=Kentucky
Salmonella enterica	IPD_NCSU49	"CFSAN094686","IPD_NCSU49","SRS4972148"		PDT000522673.1	2019-06-14T00:51:33Z	Senegal	broiler chicken	environmental/other	PDS000129878.121	0	18	SAMN12056343	GCA_006456345.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	antigen_formula=8:z10:e,n,x,serotype=Hadar
Salmonella enterica	IPD_NCSU51	"CFSAN094688","IPD_NCSU51","SRS4972150"		PDT000522675.1	2019-06-14T00:51:34Z	Senegal	broiler chicken	environmental/other	PDS000129878.121	0	18	SAMN12056361	GCA_006456325.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,tet(A)=COMPLETE	antigen_formula=8:z10:e,n,x,serotype=Hadar
Salmonella enterica	IPD_NCSU50	"CFSAN094687","IPD_NCSU50","SRS4972156"		PDT000522681.1	2019-06-14T00:51:35Z	Senegal	broiler chicken	environmental/other	PDS000001953.239	24	18	SAMN12056362	GCA_006456615.1		antigen_formula=4:e,h:e,n,x,serotype=Chester
Salmonella enterica	IPD_NCSU55	"CFSAN094692","IPD_NCSU55","SRS4972164"		PDT000522689.1	2019-06-14T00:51:37Z	Senegal	broiler chicken	environmental/other	PDS000129878.121	1	19	SAMN12056355	GCA_006456545.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,tet(A)=COMPLETE	antigen_formula=8:z10:e,n,x,serotype=Hadar
Salmonella enterica	IPD_NCSU56	"CFSAN094693","IPD_NCSU56","SRS4972166"		PDT000522691.1	2019-06-14T00:51:37Z	Senegal	broiler chicken	environmental/other				SAMN12056359	GCA_006456585.1		antigen_formula=4:l,v:e,n,z15,serotype=Brandenburg
