#Organism group	Strain	Isolate identifiers	Serovar	Isolate	Create date	Location	Isolation source	Isolation type	SNP cluster	Min-same	Min-diff	BioSample	Assembly	AMR genotypes core	Computed types
Salmonella enterica	FNW19F31	"FNW19F31","SRS541504"	Saintpaul	PDT000003071.3	2015-02-11T16:10:25Z	Morocco	red meat spice rub	environmental/other	PDS000032169.3	1		SAMN02344776	GCA_010702395.1		antigen_formula=4:e,h:1,2,serotype=Saintpaul
Salmonella enterica	FNW19F32	"FNW19F32","SRS541485"	Schwarzengrund	PDT000003072.3	2015-02-11T16:10:24Z	Morocco	red meat spice rub	environmental/other	PDS000027213.2	1		SAMN02344777	GCA_011462515.1		antigen_formula=4:d:1,7,serotype=Schwarzengrund
Salmonella enterica	FNW19F38	"FNW19F38","SRS551202"	Paratyphi B	PDT000003230.3	2015-02-11T15:09:16Z	Morocco	white meat spice rub	environmental/other				SAMN02344775	GCA_011461115.1		antigen_formula=4:b:1,2,serotype=Paratyphi B var. L(+) tartrate+
Salmonella enterica	FNW19F37	"FNW19F37","SRS551222"	Schwarzengrund	PDT000003231.4	2015-02-11T15:09:16Z	Morocco	white meat spice rub	environmental/other	PDS000027213.2	1		SAMN02344778	GCA_006691105.1		antigen_formula=4:d:1,7,serotype=Schwarzengrund
Salmonella enterica	CFSAN004112	"CFSAN004112","SRS622136"	Saintpaul	PDT001024845.1	2021-05-11T14:24:00Z	Morocco	red meat spice rub	environmental/other	PDS000032169.3	1		SAMN02709349	GCA_018339955.1		antigen_formula=4:e,h:1,2,serotype=Saintpaul
Salmonella enterica	SALM1	"ArFMSE01","Food of animal origin","SALM1","SRS18254701"		PDT001815948.1	2023-07-12T19:53:47Z	Morocco	meat		PDS000114060.11			SAMN30674656		aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,gyrA_D87N=POINT,tet(A)=COMPLETE	antigen_formula=8:z10:e,n,x,serotype=Hadar
Salmonella enterica	SALM10	"ArFMSE02","Food of animal origin","SALM10","SRS18254696"		PDT001815949.1	2023-07-12T19:53:47Z	Morocco	meat		PDS000056250.45			SAMN30674657			antigen_formula=8:i:z6,serotype=Kentucky
Salmonella enterica	SALM2	"ArFMSE03","Food of animal origin","SALM2","SRS18254694"		PDT001815951.1	2023-07-12T19:53:47Z	Morocco	meat					SAMN30674658			antigen_formula=-:g,m,s:-,serotype=I -:g,m,s:-
Salmonella enterica	SALM24	"ArFMSE04","Food of animal origin","SALM24","SRS18254692"		PDT001815952.1	2023-07-12T19:53:47Z	Morocco	meat		PDS000114060.11			SAMN30674659		aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,gyrA_D87N=POINT,tet(A)=COMPLETE	antigen_formula=8:z10:e,n,x,serotype=Hadar
Salmonella enterica	SALM25	"ArFMSE05","Food of animal origin","SALM25","SRS18254691"		PDT001815953.1	2023-07-12T19:53:48Z	Morocco	meat					SAMN30674660			antigen_formula=8:r,i:z6,serotype=Altona
Salmonella enterica	SALM3	"ArFMSE06","Food of animal origin","SALM3","SRS18254685"		PDT001815954.1	2023-07-12T19:53:48Z	Morocco	meat		PDS000027970.437			SAMN30674661		aadA2=COMPLETE,blaTEM-1=COMPLETE,dfrA12=COMPLETE,gyrA_D87N=POINT,gyrA_S83F=POINT,parC_S80I=POINT,sul1=COMPLETE,tet(A)=COMPLETE	antigen_formula=8:i:z6,serotype=Kentucky
