#Organism group	Strain	Isolate identifiers	Serovar	Isolate	Create date	Location	Isolation source	Isolation type	SNP cluster	Min-same	Min-diff	BioSample	Assembly	AMR genotypes core	Computed types
Salmonella enterica	ILBSalm5516455	"03_0448-sc-2013-06-10T14:57:22Z-1611313","ERS255489","ILBSalm5516455"	Enteritidis	PDT000031325.2	2014-05-29T14:53:32Z	Kenya	blood	clinical	PDS000121788.50	31	31	SAMEA2080497	GCA_009631855.1		antigen_formula=9:g,m:-,serotype=Enteritidis
Salmonella enterica	CFSAN031424	"CFSAN031424","ICOPHAI16572","SRS1034405"		PDT000105258.2	2016-02-05T15:24:43Z	Kenya	feces swine	environmental/other	PDS000004926.7	2	3	SAMN03576958	GCA_006890065.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	antigen_formula=8:d:1,2,serotype=Muenchen
Salmonella enterica	CFSAN031428	"CFSAN031428","ICOPHAI16576","SRS1034403"		PDT000105259.2	2016-02-05T15:24:43Z	Kenya	feces swine	environmental/other	PDS000004926.7	1	2	SAMN03576962	GCA_006890085.1		antigen_formula=8:d:1,2,serotype=Muenchen
Salmonella enterica	CFSAN031429	"CFSAN031429","ICOPHAI16577","SRS1034401"		PDT000105260.2	2016-02-05T15:24:43Z	Kenya	feces swine	environmental/other	PDS000043889.4		31	SAMN03576963	GCA_006890015.1	fosA7=COMPLETE	antigen_formula=4:r:1,2,serotype=Heidelberg
Salmonella enterica	CFSAN031422	"CFSAN031422","ICOPHAI16569","SRS1034409"		PDT000105261.2	2016-02-05T15:24:43Z	Kenya	feces swine	environmental/other	PDS000106143.161	0	22	SAMN03576956	GCA_006890265.1	fosA7=COMPLETE	antigen_formula=4:f,g,s:-,serotype=Agona
Salmonella enterica	CFSAN031425	"CFSAN031425","ICOPHAI16573","SRS1034408"		PDT000105262.2	2016-02-05T15:24:43Z	Kenya	feces swine	environmental/other	PDS000004926.7	0	1	SAMN03576959	GCA_006890125.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	antigen_formula=8:d:1,2,serotype=Muenchen
Salmonella enterica	CFSAN031427	"CFSAN031427","ICOPHAI16575","SRS1034417"		PDT000105264.2	2016-02-05T15:24:43Z	Kenya	feces swine	environmental/other	PDS000004926.7	0	1	SAMN03576961	GCA_006890525.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	antigen_formula=8:d:1,2,serotype=Muenchen
Salmonella enterica	CFSAN031430	"CFSAN031430","ICOPHAI16578","SRS1034415"	Stanley ville	PDT000105265.2	2016-02-05T15:24:43Z	Kenya	feces swine	environmental/other	PDS000030889.1	1	12	SAMN03576964	GCA_007477685.1		antigen_formula=4:z4,z23:-,serotype=Stanleyville
Salmonella enterica	CFSAN031417	"CFSAN031417","ICOPHAI16564","SRS1039533"		PDT000105279.4	2018-06-26T23:05:01Z	Kenya	feces swine	environmental/other	PDS000024017.2	3		SAMN03576951	GCA_005901525.1		antigen_formula=4:i:1,2,serotype=Typhimurium
Salmonella enterica	CFSAN031418	"CFSAN031418","ICOPHAI16565","SRS1039648"		PDT000105305.4	2018-06-26T23:04:45Z	Kenya	feces swine	environmental/other	PDS000023890.2	0		SAMN03576952	GCA_003873235.1		antigen_formula=7:z10:e,n,z15,serotype=Mbandaka
Salmonella enterica	CFSAN031419	"CFSAN031419","ICOPHAI16566","SRS1039681"		PDT000105314.4	2018-06-26T23:04:45Z	Kenya	feces swine	environmental/other	PDS000023890.2	0		SAMN03576953	GCA_004186515.1		antigen_formula=7:z10:e,n,z15,serotype=Mbandaka
Salmonella enterica	CFSAN031420	"CFSAN031420","ICOPHAI16567","SRS1093193"	Agona	PDT000105316.2	2016-02-05T15:24:45Z	Kenya	feces swine	environmental/other	PDS000106143.161	0	22	SAMN03576954	GCA_008662775.1	fosA7=COMPLETE	antigen_formula=4:f,g,s:-,serotype=Agona
Salmonella enterica	CFSAN031421	"CFSAN031421","ICOPHAI16568","SRS1093191"		PDT000105317.2	2016-02-05T15:24:45Z	Kenya	feces swine	environmental/other	PDS000106143.161	1	23	SAMN03576955	GCA_006890645.1	fosA7=COMPLETE	antigen_formula=4:f,g,s:-,serotype=Agona
Salmonella enterica	CFSAN031431	"CFSAN031431","ICOPHAI16579","SRS1093196"	Haifa	PDT000105318.2	2016-02-05T15:24:45Z	Kenya	feces swine	environmental/other				SAMN03576965	GCA_010392565.1	dfrA5=COMPLETE,gyrA_S83Y=POINT,sul1=COMPLETE,tet(A)=COMPLETE	antigen_formula=4:z10:1,2,serotype=Haifa
Salmonella enterica	CFSAN031432	"CFSAN031432","ICOPHAI16580","SRS1093195"	Muenchen	PDT000105319.2	2016-02-05T15:24:45Z	Kenya	feces swine	environmental/other	PDS000004926.7	1	2	SAMN03576966	GCA_008663135.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	antigen_formula=8:d:1,2,serotype=Muenchen
Salmonella enterica	CFSAN031433	"CFSAN031433","ICOPHAI16581","SRS1093199"		PDT000105320.2	2016-02-05T15:24:45Z	Kenya	feces swine	environmental/other	PDS000030888.2	11	10	SAMN03576967	GCA_006177785.1		antigen_formula=8:d:e,n,x,serotype=Sterrenbos
Salmonella enterica	CFSAN031434	"CFSAN031434","ICOPHAI16583","SRS1093198"		PDT000105321.2	2016-02-05T15:24:45Z	Kenya	feces swine	environmental/other	PDS000027970.432	22	33	SAMN03576968	GCA_006889985.1	gyrA_D87N=POINT,gyrA_S83F=POINT,parC_S80I=POINT,sul3=COMPLETE	antigen_formula=8:i:z6,serotype=Kentucky
