#Organism group	Strain	Isolate identifiers	Serovar	Isolate	Create date	Location	Isolation source	Isolation type	SNP cluster	Min-same	Min-diff	BioSample	Assembly	AMR genotypes core	Computed types
Salmonella enterica	NC_P01-16TB	"CFSAN059551","NC_P01-16TB","SRS1959691"		PDT000185662.2	2017-02-06T21:33:59Z	Uganda	poultry	environmental/other	PDS000065758.667	6	5	SAMN06240031	GCA_016370845.1		antigen_formula=9:g,m:-,serotype=Enteritidis
Salmonella enterica	NC_P01-09GX	"CFSAN059549","NC_P01-09GX","SRS1959700"		PDT000185671.2	2017-02-06T21:34:01Z	Uganda	poultry	environmental/other	PDS000065758.667	0	3	SAMN06240033	GCA_016370945.1		antigen_formula=9:g,m:-,serotype=Enteritidis
Salmonella enterica	NC_P01-19TX	"CFSAN059553","NC_P01-19TX","SRS1959702"		PDT000185673.2	2017-02-06T21:34:02Z	Uganda	poultry	environmental/other	PDS000065758.667	6	7	SAMN06240029	GCA_005986145.1		antigen_formula=9:g,m:-,serotype=Enteritidis
Salmonella enterica	NC_P01-08GX	"CFSAN059548","NC_P01-08GX","SRS1959704"		PDT000185675.2	2017-02-06T21:34:02Z	Uganda	poultry	environmental/other	PDS000065758.667	0	3	SAMN06240034	GCA_006043575.1		antigen_formula=9:g,m:-,serotype=Enteritidis
Salmonella enterica	NC_P01-05GX	"CFSAN059547","NC_P01-05GX","SRS1959714"		PDT000185685.2	2017-02-06T21:34:04Z	Uganda	poultry	environmental/other	PDS000065758.667	6	7	SAMN06240035	GCA_016371065.1		antigen_formula=9:g,m:-,serotype=Enteritidis
Salmonella enterica	NC_P04-19TB	"CFSAN059578","NC_P04-19TB","SRS1974317"		PDT000187638.2	2017-02-14T17:40:51Z	Uganda	poultry	environmental/other	PDS000065758.667	0	3	SAMN06240085	GCA_006945205.1		antigen_formula=9:g,m:-,serotype=Enteritidis
Salmonella enterica	NC_P04-13TX	"CFSAN059574","NC_P04-13TX","SRS1974353"		PDT000187639.2	2017-02-14T17:40:51Z	Uganda	poultry	environmental/other	PDS000065758.667	0	3	SAMN06240089	GCA_005986065.1		antigen_formula=9:g,m:-,serotype=Enteritidis
Salmonella enterica	NC_P04-11TB	"CFSAN059572","NC_P04-11TB","SRS1974362"		PDT000187642.2	2017-02-14T17:40:51Z	Uganda	poultry	environmental/other	PDS000065758.667	1	2	SAMN06240091	GCA_005987645.1		antigen_formula=9:g,m:-,serotype=Enteritidis
Salmonella enterica	NC_P04-14TX	"CFSAN059575","NC_P04-14TX","SRS1974535"		PDT000187648.2	2017-02-14T17:40:52Z	Uganda	poultry	environmental/other	PDS000065758.667	1	4	SAMN06240088	GCA_016323605.1		antigen_formula=9:g,m:-,serotype=Enteritidis
Salmonella enterica	NC_P04-18TB	"CFSAN059577","NC_P04-18TB","SRS1974633"		PDT000187668.2	2017-02-14T17:40:56Z	Uganda	poultry	environmental/other	PDS000065758.667	1	3	SAMN06240086	GCA_016370345.1		antigen_formula=9:g,m:-,serotype=Enteritidis
Salmonella enterica	NC_P04-17TB	"CFSAN059576","NC_P04-17TB","SRS1974637"		PDT000187672.2	2017-02-14T17:40:56Z	Uganda	poultry	environmental/other	PDS000065758.667	1	3	SAMN06240087	GCA_016323505.1		antigen_formula=9:g,m:-,serotype=Enteritidis
Salmonella enterica	NC_P05-13TB	"CFSAN059579","NC_P05-13TB","SRS1996669"		PDT000189273.2	2017-02-22T22:09:22Z	Uganda	poultry	environmental/other	PDS000065758.667	3	4	SAMN06240084	GCA_016323545.1		antigen_formula=9:g,m:-,serotype=Enteritidis
Salmonella enterica	NC_P17-18TB	"CFSAN059595","NC_P17-18TB","SRS1997906"		PDT000189468.2	2017-02-23T17:52:28Z	Uganda	poultry	environmental/other	PDS000065758.667	3	4	SAMN06238270	GCA_016370585.1		antigen_formula=9:g,m:-,serotype=Enteritidis
