#Organism group	Strain	Isolate identifiers	Serovar	Isolate	Create date	Location	Isolation source	Isolation type	SNP cluster	Min-same	Min-diff	BioSample	Assembly	AMR genotypes	Computed types
Salmonella enterica	CFSAN031288	"CFSAN031288","ICOPHAI16959","SRS927234"	Saintpaul	PDT000105182.2	2016-02-05T15:24:40Z	Ethiopia	feces poultry	environmental/other	PDS000030862.1	2	7	SAMN03576822	GCA_010498615.1	aadA15=COMPLETE,aadA1=COMPLETE,aadA2=COMPLETE,blaTEM=PARTIAL_END_OF_CONTIG,cmlA1=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,sul3=COMPLETE,sul3=PARTIAL_END_OF_CONTIG	antigen_formula=4:e,h:1,2,serotype=Saintpaul
Salmonella enterica	CFSAN031287	"CFSAN031287","ICOPHAI16867","SRS940137"	Virchow	PDT000105210.2	2016-02-05T15:24:41Z	Ethiopia	feces (Bos taurus)	environmental/other	PDS000030852.3	4	4	SAMN03576821	GCA_008865105.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=7:r:1,2,serotype=Virchow
Salmonella enterica	CFSAN031578	"CFSAN031578","ICOPHAI11598","SRS1210892"	Newport	PDT000105386.2	2016-02-05T15:24:47Z	Ethiopia	bovine skin	environmental/other	PDS000002302.17	3	4	SAMN03577111	GCA_008662835.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	antigen_formula=8:e,h:1,2,serotype=Newport
Salmonella enterica	CFSAN031581	"CFSAN031581","ICOPHAI11601","SRS1210890"	Newport	PDT000105389.2	2016-02-05T15:24:47Z	Ethiopia	bovine skin	environmental/other	PDS000030876.3	1		SAMN03577114	GCA_008845805.1	mdsA=COMPLETE,mdsB=COMPLETE,tet(A)=COMPLETE	antigen_formula=8:e,h:1,2,serotype=Newport
Salmonella enterica	CFSAN031591	"CFSAN031591","ICOPHAI11612","SRS1210900"	Typhimurium	PDT000105391.2	2016-02-05T15:24:47Z	Ethiopia	swine lymph node	environmental/other	PDS000100251.113	14	14	SAMN03577124	GCA_008865065.1	aadA2=COMPLETE,blaCARB-2=COMPLETE,floR=COMPLETE,gyrA_D87Y=POINT,mdsA=COMPLETE,mdsB=COMPLETE,sul1=COMPLETE,sul1=PARTIAL_END_OF_CONTIG,tet(G)=COMPLETE	antigen_formula=4:i:1,2,serotype=Typhimurium
Salmonella enterica	CFSAN031584	"CFSAN031584","ICOPHAI11605","SRS1210898"	Typhimurium	PDT000105393.2	2016-02-05T15:24:47Z	Ethiopia	chicken carcass	environmental/other	PDS000029966.16	14	14	SAMN03577117	GCA_008662635.1	aadA2=COMPLETE,aph(3')-Ia=COMPLETE,blaCARB-2=COMPLETE,floR=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,sul1=COMPLETE,sul3=COMPLETE,tet(A)=COMPLETE,tet(G)=COMPLETE,tet(M)=COMPLETE	antigen_formula=4:i:1,2,serotype=Typhimurium
Salmonella enterica	CFSAN031597	"CFSAN031597","ICOPHAI7657","SRS1210907"		PDT000105396.2	2016-02-05T15:24:47Z	Ethiopia	feces swine	environmental/other	PDS000030873.2	2		SAMN03577130	GCA_006891325.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=13:f,g:-,serotype=Havana
Salmonella enterica	CFSAN031577	"CFSAN031577","ICOPHAI11597","SRS1210905"	Newport	PDT000105398.2	2016-02-05T15:24:47Z	Ethiopia	bovine rumen	environmental/other				SAMN03577110	GCA_008662435.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,mdsA=COMPLETE,mdsB=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	antigen_formula=8:e,h:1,2,serotype=Newport
Salmonella enterica	CFSAN031595	"CFSAN031595","ICOPHAI11616","SRS1210902"	Uganda	PDT000105401.2	2016-02-05T15:24:47Z	Ethiopia	bovine rumen	environmental/other				SAMN03577128	GCA_011415595.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=3,10:l,z13:1,5,serotype=Uganda
Salmonella enterica	CFSAN031585	"CFSAN031585","ICOPHAI11606","SRS1210913"	Typhimurium	PDT000105402.2	2016-02-05T15:24:47Z	Ethiopia	bovine caecum	environmental/other	PDS000026835.9		20	SAMN03577118	GCA_008865015.1	mdsA=COMPLETE,mdsB=COMPLETE	antigen_formula=4:i:1,2,serotype=Typhimurium
